sim,h,tax_rate_pp,revenue_gdp_pp,gdp_pct,gdp_pct_per_pp
Sim11,1,2.0,6.938893903907228e-16,-0.3894987628150943,-0.19474938140754716
Sim11,2,2.0,1.0473176211198711,0.13774031654982366,0.06887015827491183
Sim11,3,2.0,1.04731762111933,-0.07469592224443034,-0.03734796112221517
Sim11,4,2.0,1.047317621119826,-0.13255251863317596,-0.06627625931658798
Sim11,5,2.0,1.0473176211201682,-0.21622002334791546,-0.10811001167395773
Sim11,6,2.0,1.0473176211201598,-0.27290802003670933,-0.13645401001835467
Sim11,7,2.0,1.047317621121043,-0.3344641608933472,-0.1672320804466736
Sim11,8,2.0,1.0473176211195832,-0.37661873126549494,-0.18830936563274747
Sim11,9,2.0,1.047317621119729,-0.40780645592430176,-0.20390322796215088
Sim11,10,2.0,1.0473176211197477,-0.43711728150709916,-0.21855864075354958
Sim11,11,2.0,1.047317621119781,-0.4606656628726995,-0.23033283143634975
Sim11,12,2.0,1.047317621119792,-0.4791825023765739,-0.23959125118828695
Sim11,13,2.0,1.047317621119763,-0.4941737555989789,-0.24708687779948946
Sim11,14,2.0,1.0473176211199162,-0.5057003167850382,-0.2528501583925191
Sim11,15,2.0,1.04731762111986,-0.513958324665353,-0.2569791623326765
Sim11,16,2.0,1.047317621119847,-0.5191993949678135,-0.25959969748390677
Sim11,17,2.0,1.0473176211198427,-0.5220337845678529,-0.26101689228392644
Sim11,18,2.0,1.0473176211198358,-0.5236551528363549,-0.26182757641817744
Sim11,19,2.0,1.0473176211198338,-0.523030546082822,-0.261515273041411
Sim11,20,2.0,1.047317621119828,-0.520716156010792,-0.260358078005396
Sim12,1,-2.0,0.0,0.38279451831687084,-0.19139725915843542
Sim12,2,-2.0,-1.0473176211198507,-0.13739534053863167,0.06869767026931584
Sim12,3,-2.0,-1.0473176211196662,0.07275191933860015,-0.03637595966930007
Sim12,4,-2.0,-1.0473176211198822,0.12939159629404173,-0.06469579814702087
Sim12,5,-2.0,-1.0473176211199118,0.2117404600083148,-0.1058702300041574
Sim12,6,-2.0,-1.0473176211195847,0.2666677605712522,-0.1333338802856261
Sim12,7,-2.0,-1.0473176211204254,0.3260905062454782,-0.1630452531227391
Sim12,8,-2.0,-1.0473176211198632,0.36760511449791977,-0.18380255724895989
Sim12,9,-2.0,-1.0473176211201678,0.3996286951197163,-0.19981434755985816
Sim12,10,-2.0,-1.047317621120338,0.42949661946698825,-0.21474830973349412
Sim12,11,-2.0,-1.047317621120766,0.4536764020041062,-0.2268382010020531
Sim12,12,-2.0,-1.0473176211205315,0.47286887382628606,-0.23643443691314303
Sim12,13,-2.0,-1.0473176211205475,0.4885200534264982,-0.2442600267132491
Sim12,14,-2.0,-1.0473176211201345,0.5006656413253552,-0.2503328206626776
Sim12,15,-2.0,-1.0473176211198956,0.5095131873267746,-0.2547565936633873
Sim12,16,-2.0,-1.0473176211192505,0.5152800217998532,-0.2576400108999266
Sim12,17,-2.0,-1.0473176211204995,0.5185972630597178,-0.2592986315298589
Sim12,18,-2.0,-1.0473176211202264,0.5206319539985458,-0.2603159769992729
Sim12,19,-2.0,-1.04731762112047,0.520345896484713,-0.2601729482423565
Sim12,20,-2.0,-1.0473176211200999,0.5182367910290537,-0.25911839551452687
Sim13,1,2.0,-6.938893903907228e-16,-2.2737367544323206e-13,-1.1368683772161603e-13
Sim13,2,2.0,1.047317621119459,-0.05722074918570286,-0.02861037459285143
Sim13,3,2.0,1.0473176211198725,-0.17126414386497402,-0.08563207193248701
Sim13,4,2.0,1.047317621119856,-0.27034677106443894,-0.13517338553221947
Sim13,5,2.0,1.0473176211198385,-0.36058246161418595,-0.18029123080709297
Sim13,6,2.0,1.0473176211198365,-0.43586913116527626,-0.21793456558263813
Sim13,7,2.0,1.0473176211198247,-0.496183431120258,-0.248091715560129
Sim13,8,2.0,1.0473176211198365,-0.5410449555985508,-0.2705224777992754
Sim13,9,2.0,1.0473176211202126,-0.5763123869583069,-0.28815619347915344
Sim13,10,2.0,1.0473176211207254,-0.6034363963279787,-0.30171819816398937
Sim13,11,2.0,1.0473176211198698,-0.6237461823748305,-0.31187309118741524
Sim13,12,2.0,1.047317621119858,-0.6383254976016417,-0.31916274880082085
Sim13,13,2.0,1.0473176211198378,-0.6478264378454952,-0.3239132189227476
Sim13,14,2.0,1.0473176211187893,-0.652580418370448,-0.326290209185224
Sim13,15,2.0,1.0473176211188866,-0.6529565350595732,-0.3264782675297866
Sim13,16,2.0,1.047317621119586,-0.6494273150485697,-0.3247136575242848
Sim13,17,2.0,1.047317621119337,-0.6425173597366438,-0.3212586798683219
Sim13,18,2.0,1.0473176211195534,-0.6327759152731431,-0.31638795763657157
Sim13,19,2.0,1.0473176211197692,-0.6206982946868038,-0.3103491473434019
Sim13,20,2.0,1.0473176211198059,-0.6067940126502833,-0.30339700632514166
