sim,variable,unit,quarter,h,diff
Sim1,CPIXFOR,%,0006Q2,2,0.08786293037698556
Sim1,CPIXFOR,%,0006Q3,3,0.12661946213017927
Sim1,CPIXFOR,%,0006Q4,4,0.1626309357546205
Sim1,CPIXFOR,%,0007Q1,5,0.18885859637829583
Sim1,CPIXFOR,%,0007Q2,6,0.2157651969305192
Sim1,CPIXFOR,%,0007Q3,7,0.24123856474254524
Sim1,CPIXFOR,%,0007Q4,8,0.26710733462481073
Sim1,CPIXFOR,%,0008Q1,9,0.2927643506186257
Sim1,CPIXFOR,%,0008Q2,10,0.3184730052712865
Sim1,CPIXFOR,%,0008Q3,11,0.34134606615290863
Sim1,CPIXFOR,%,0008Q4,12,0.36364071518100616
Sim1,CPIXFOR,%,0009Q1,13,0.38496911178107496
Sim1,CPIXFOR,%,0009Q2,14,0.4058960135540275
Sim1,CPIXFOR,%,0009Q3,15,0.42388313523966303
Sim1,CPIXFOR,%,0009Q4,16,0.4410410482303746
Sim1,CPIXFOR,%,0010Q1,17,0.4571557210822448
Sim1,CPIXFOR,%,0010Q2,18,0.4728723326224582
Sim1,CPIXFOR,%,0010Q3,19,0.48605511904389687
Sim1,CPIXFOR,%,0010Q4,20,0.4986689417344081
Sim2,GDP,%,0006Q1,1,0.005335235783164194
Sim2,GDP,%,0006Q2,2,0.03612375994855199
Sim2,GDP,%,0006Q3,3,0.06875227472831114
Sim2,GDP,%,0006Q4,4,0.10525170581676946
Sim2,GDP,%,0007Q1,5,0.13641507648547702
Sim2,GDP,%,0007Q2,6,0.15853638779177004
Sim2,GDP,%,0007Q3,7,0.17671924155555985
Sim2,GDP,%,0007Q4,8,0.1883857855613087
Sim2,GDP,%,0008Q1,9,0.19605507431373326
Sim2,GDP,%,0008Q2,10,0.19938426077720806
Sim2,GDP,%,0008Q3,11,0.19934932377753967
Sim2,GDP,%,0008Q4,12,0.19621116504976044
Sim2,GDP,%,0009Q1,13,0.18990613304097792
Sim2,GDP,%,0009Q2,14,0.180738369929486
Sim2,GDP,%,0009Q3,15,0.16883708050336566
Sim2,GDP,%,0009Q4,16,0.1545951193515691
Sim2,GDP,%,0010Q1,17,0.13826908020024575
Sim2,GDP,%,0010Q2,18,0.12081208301340496
Sim2,GDP,%,0010Q3,19,0.10266193048538241
Sim2,GDP,%,0010Q4,20,0.084187875193237
Sim2,CP,%,0006Q1,1,0.0
Sim2,CP,%,0006Q2,2,0.021523128725718266
Sim2,CP,%,0006Q3,3,0.055738864356129625
Sim2,CP,%,0006Q4,4,0.09680146020878055
Sim2,CP,%,0007Q1,5,0.13973293687395483
Sim2,CP,%,0007Q2,6,0.17801477169021496
Sim2,CP,%,0007Q3,7,0.21320563193363284
Sim2,CP,%,0007Q4,8,0.24458558670774266
Sim2,CP,%,0008Q1,9,0.2718081089476243
Sim2,CP,%,0008Q2,10,0.29451720359878664
Sim2,CP,%,0008Q3,11,0.3127774014297131
Sim2,CP,%,0008Q4,12,0.3267917064110577
Sim2,CP,%,0009Q1,13,0.33685562074137465
Sim2,CP,%,0009Q2,14,0.3433466434636756
Sim2,CP,%,0009Q3,15,0.3466145976253472
Sim2,CP,%,0009Q4,16,0.34703488261935433
Sim2,CP,%,0010Q1,17,0.3449839701464583
Sim2,CP,%,0010Q2,18,0.34084176363063534
Sim2,CP,%,0010Q3,19,0.3349726495626584
Sim2,CP,%,0010Q4,20,0.3277605284286693
Sim2,INV,%,0006Q1,1,-0.00012774794102199394
Sim2,INV,%,0006Q2,2,0.06477941811147048
Sim2,INV,%,0006Q3,3,0.13967068396598847
Sim2,INV,%,0006Q4,4,0.2172550547272749
Sim2,INV,%,0007Q1,5,0.2892829823390315
Sim2,INV,%,0007Q2,6,0.3460256371425885
Sim2,INV,%,0007Q3,7,0.3956296819357874
Sim2,INV,%,0007Q4,8,0.4376133692841222
Sim2,INV,%,0008Q1,9,0.4719136963687163
Sim2,INV,%,0008Q2,10,0.49980095573063466
Sim2,INV,%,0008Q3,11,0.5205613950180208
Sim2,INV,%,0008Q4,12,0.5346969384153937
Sim2,INV,%,0009Q1,13,0.5426241993427396
Sim2,INV,%,0009Q2,14,0.5447215309839777
Sim2,INV,%,0009Q3,15,0.541487427199641
Sim2,INV,%,0009Q4,16,0.5333906019038039
Sim2,INV,%,0010Q1,17,0.5209278144083385
Sim2,INV,%,0010Q2,18,0.5045852141042815
Sim2,INV,%,0010Q3,19,0.48506720201946507
Sim2,INV,%,0010Q4,20,0.46295090150023555
Sim2,EX,%,0006Q1,1,-0.0019814432084928058
Sim2,EX,%,0006Q2,2,0.024800755572741195
Sim2,EX,%,0006Q3,3,0.026211653059135642
Sim2,EX,%,0006Q4,4,0.027420321037823214
Sim2,EX,%,0007Q1,5,0.021763637574039763
Sim2,EX,%,0007Q2,6,0.009594017907005536
Sim2,EX,%,0007Q3,7,0.0023110510519046557
Sim2,EX,%,0007Q4,8,-0.004572922569522575
Sim2,EX,%,0008Q1,9,-0.010640319630908834
Sim2,EX,%,0008Q2,10,-0.018064819100544582
Sim2,EX,%,0008Q3,11,-0.02482829709273915
Sim2,EX,%,0008Q4,12,-0.03098239295094629
Sim2,EX,%,0009Q1,13,-0.03630786144897513
Sim2,EX,%,0009Q2,14,-0.04045436037731065
Sim2,EX,%,0009Q3,15,-0.0438357517464425
Sim2,EX,%,0009Q4,16,-0.04647622912358429
Sim2,EX,%,0010Q1,17,-0.04841529052916371
Sim2,EX,%,0010Q2,18,-0.04962777326895207
Sim2,EX,%,0010Q3,19,-0.0502523224588316
Sim2,EX,%,0010Q4,20,-0.05029389410509566
Sim2,IM,%,0006Q1,1,0.006738935135359725
Sim2,IM,%,0006Q2,2,0.03796483441024634
Sim2,IM,%,0006Q3,3,0.09460956790363184
Sim2,IM,%,0006Q4,4,0.16064080330426123
Sim2,IM,%,0007Q1,5,0.22874540614591865
Sim2,IM,%,0007Q2,6,0.28992676221540137
Sim2,IM,%,0007Q3,7,0.34431659347065136
Sim2,IM,%,0007Q4,8,0.4013165810857089
Sim2,IM,%,0008Q1,9,0.4552623621104459
Sim2,IM,%,0008Q2,10,0.5090124729814249
Sim2,IM,%,0008Q3,11,0.5618730522561037
Sim2,IM,%,0008Q4,12,0.6133674400556686
Sim2,IM,%,0009Q1,13,0.664695925646356
Sim2,IM,%,0009Q2,14,0.715463413005125
Sim2,IM,%,0009Q3,15,0.7656203586997776
Sim2,IM,%,0009Q4,16,0.8147219768818417
Sim2,IM,%,0010Q1,17,0.8630253772440568
Sim2,IM,%,0010Q2,18,0.907998883797049
Sim2,IM,%,0010Q3,19,0.9491284373082749
Sim2,IM,%,0010Q4,20,0.9866098451960283
Sim2,CPIXFOR,%,0006Q1,1,-0.061528801977857484
Sim2,CPIXFOR,%,0006Q2,2,-0.09333067122670968
Sim2,CPIXFOR,%,0006Q3,3,-0.11912262263975038
Sim2,CPIXFOR,%,0006Q4,4,-0.13483286075449996
